,place,rank,review_count,view_count
1408,미아동,,11.0,10144.0
1409,미아동,,7.0,20057.0
1410,미아동,,9.0,6774.0
1411,미아동,,5.0,9394.0
1412,미아동,,0.0,1750.0
1413,미아동,,1.0,547.0
1414,미아동,,1.0,510.0
1415,미아동,,6.0,6296.0
1416,미아동,,3.0,2898.0
1417,미아동,,2.0,2934.0
1418,미아동,,1.0,645.0
1419,미아동,,1.0,187.0
1420,미아동,,8.0,6672.0
1421,미아동,,8.0,7210.0
1422,미아동,,3.0,692.0
1423,미아동,,2.0,2690.0
1444,미아동,,1.0,3045.0
1445,미아동,,0.0,762.0
1446,미아동,,5.0,7546.0
1447,미아동,,5.0,2848.0
1448,미아동,,0.0,2875.0
1449,미아동,,4.0,9736.0
1450,미아동,,4.0,5051.0
1451,미아동,,3.0,2300.0
1452,미아동,,3.0,1125.0
1453,미아동,,3.0,831.0
1454,미아동,,2.0,4455.0
1455,미아동,,1.0,2990.0
1456,미아동,,1.0,1290.0
1457,미아동,,6.0,4398.0
1458,미아동,,5.0,4408.0
1459,미아동,,3.0,1878.0
1460,미아동,,3.0,1100.0
1461,미아동,,3.0,3987.0
1462,미아동,,2.0,3267.0
1463,미아동,,2.0,1906.0
1484,미아동,,2.0,320.0
1485,미아동,,1.0,3811.0
1486,미아동,,1.0,1209.0
1487,미아동,,1.0,130.0
1488,미아동,,6.0,3621.0
1489,미아동,,5.0,5228.0
1490,미아동,,5.0,3971.0
1491,미아동,,2.0,7225.0
1492,미아동,,2.0,1639.0
1493,미아동,,1.0,2570.0
1494,미아동,,1.0,1938.0
1495,미아동,,1.0,823.0
1496,미아동,,5.0,2994.0
1497,미아동,,4.0,5385.0
1498,미아동,,3.0,498.0
1499,미아동,,2.0,5395.0
1500,미아동,,2.0,2050.0
1501,미아동,,2.0,159.0
1502,미아동,,1.0,4544.0
1503,미아동,,1.0,9.0
1524,미아동,,3.0,2267.0
1525,미아동,,3.0,100.0
1526,미아동,,2.0,1236.0
1527,미아동,,2.0,422.0
1528,미아동,,1.0,2407.0
1529,미아동,,1.0,974.0
1530,미아동,,1.0,904.0
1531,미아동,,1.0,689.0
1532,미아동,,1.0,493.0
1533,미아동,,1.0,207.0
1534,미아동,,1.0,136.0
1535,미아동,,0.0,329.0
1536,미아동,,7.0,2912.0
1537,미아동,,5.0,3497.0
1538,미아동,,3.0,2805.0
1539,미아동,,3.0,1616.0
1540,미아동,,3.0,1033.0
1541,미아동,,2.0,4287.0
1542,미아동,,2.0,1426.0
1543,미아동,,2.0,481.0
1564,미아동,,1.0,1735.0
1565,미아동,,2.0,1711.0
1566,미아동,,1.0,1587.0
1567,미아동,,1.0,1546.0
1568,미아동,,1.0,779.0
1569,미아동,,1.0,356.0
1570,미아동,,1.0,250.0
1571,미아동,,1.0,223.0
1572,미아동,,1.0,96.0
1573,미아동,,0.0,4554.0
1574,미아동,,4.0,3034.0
1575,미아동,,1.0,1528.0
1576,미아동,,1.0,975.0
1577,미아동,,1.0,661.0
1578,미아동,,1.0,480.0
1579,미아동,,1.0,467.0
1580,미아동,,1.0,466.0
1581,미아동,,1.0,208.0
1582,미아동,,3.0,1958.0
1583,미아동,,2.0,2514.0
1604,미아동,,2.0,636.0
1605,미아동,,1.0,15268.0
1606,미아동,,1.0,1348.0
1607,미아동,,1.0,587.0
1608,미아동,,1.0,582.0
1609,미아동,,1.0,582.0
1610,미아동,,1.0,323.0
1611,미아동,,1.0,81.0
1612,미아동,,0.0,1162.0
1613,미아동,,0.0,873.0
1614,미아동,,6.0,3885.0
1615,미아동,,4.0,3754.0
1616,미아동,,3.0,4195.0
1617,미아동,,3.0,2407.0
1618,미아동,,3.0,1443.0
1619,미아동,,2.0,3500.0
